type,date,latitude,longitude,gender,age range,self-defined ethnicity,officer-defined ethnicity,legislation,object of search,outcome
Person and Vehicle search,2021-06-23T13:00:00+00:00,51.513467,-0.137261,Male,over 34,Other ethnic group - Any other ethnic group,Other,Firearms Act 1968 (section 47),Firearms,Arrest
Person search,2021-06-23T13:15:00+00:00,51.652283,-0.07975,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T13:25:00+00:00,51.555296,-0.11116,Male,Oct-17,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T13:29:00+00:00,51.564585,-0.105566,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T13:30:00+00:00,51.436499,-0.349663,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T13:30:00+00:00,51.51118,-0.073065,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T14:05:00+00:00,51.533995,-0.009077,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T14:15:00+00:00,,,Male,Oct-17,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T14:15:00+00:00,,,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T14:15:00+00:00,51.59463,-0.302474,Male,18-24,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-23T14:20:00+00:00,51.443818,-0.134355,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T14:38:00+00:00,51.443818,-0.134355,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-23T14:47:00+00:00,51.565103,-0.036417,Male,18-24,Asian/Asian British - Pakistani,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T14:49:00+00:00,51.533995,-0.009077,Female,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person and Vehicle search,2021-06-23T14:52:00+00:00,51.531928,-0.166915,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-23T15:05:00+00:00,51.516296,-0.168437,Male,over 34,Asian/Asian British - Any other Asian background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T15:25:00+00:00,51.536045,0.006282,Male,Oct-17,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T15:25:00+00:00,51.512281,-0.040188,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T15:45:00+00:00,51.433917,-0.103496,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T15:45:00+00:00,51.430367,-0.103643,Male,Oct-17,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person and Vehicle search,2021-06-23T15:46:00+00:00,51.52979,-0.269449,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T15:46:00+00:00,51.52979,-0.269449,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T15:55:00+00:00,51.433917,-0.103496,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T16:00:00+00:00,51.560573,-0.253263,Male,18-24,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T16:00:00+00:00,51.522956,-0.193713,Male,25-34,White - Irish,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-23T16:12:00+00:00,51.524494,-0.144754,Male,25-34,White - Irish,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T16:15:00+00:00,51.527972,0.055998,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T16:25:00+00:00,51.527919,-0.076064,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T16:45:00+00:00,51.514737,-0.20195,Male,Oct-17,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,Arrest
Person search,2021-06-23T16:45:00+00:00,51.514737,-0.20195,Male,Oct-17,Asian/Asian British - Any other Asian background,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T17:00:00+00:00,51.537047,-0.186176,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T17:00:00+00:00,51.544521,-0.060292,Male,over 34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T17:01:00+00:00,51.565738,0.218601,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T17:18:00+00:00,51.642797,-0.254961,Male,over 34,Other ethnic group - Any other ethnic group,Other,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T17:30:00+00:00,,,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Vehicle search,2021-06-23T17:50:00+00:00,51.460378,-0.044155,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T18:00:00+00:00,51.650611,-0.065597,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T18:20:00+00:00,51.484566,0.017071,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person and Vehicle search,2021-06-23T18:27:00+00:00,51.517892,-0.062909,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T18:45:00+00:00,51.481567,-0.178253,Male,Oct-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T18:47:00+00:00,51.552272,-0.301584,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T18:48:00+00:00,51.463986,-0.039408,Male,Oct-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T18:55:00+00:00,51.471047,-0.07971,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-23T19:00:00+00:00,51.55269,-0.109594,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T19:00:00+00:00,51.551747,-0.107412,Female,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T19:24:00+00:00,51.548447,-0.141184,Male,18-24,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T19:50:00+00:00,51.66777,-0.087093,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T19:56:00+00:00,51.50883,-0.058177,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T20:00:00+00:00,51.614249,-0.065236,Male,25-34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T20:12:00+00:00,51.463986,-0.039408,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Firearms Act 1968 (section 47),Firearms,Arrest
Person search,2021-06-23T20:20:00+00:00,51.521147,-0.194202,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T20:26:00+00:00,51.430367,-0.103643,Male,Oct-17,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T21:30:00+00:00,51.5684,0.009467,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T21:50:00+00:00,51.534785,0.053104,Male,over 34,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person and Vehicle search,2021-06-23T22:03:00+00:00,,,Male,18-24,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T22:38:00+00:00,51.531424,0.046796,Male,25-34,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T22:40:00+00:00,51.489085,-0.084613,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T22:45:00+00:00,51.399474,-0.121338,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T23:25:00+00:00,51.504848,-0.090033,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-23T23:27:00+00:00,51.504848,-0.090033,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-23T23:28:00+00:00,51.478689,-0.053467,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T23:30:00+00:00,51.562933,-0.272346,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T23:30:00+00:00,51.562933,-0.272346,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T23:30:00+00:00,51.562933,-0.272346,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T23:32:00+00:00,51.399785,0.010579,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-23T23:40:00+00:00,51.488027,-0.132162,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-23T23:45:00+00:00,51.521607,-0.187294,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-23T23:53:00+00:00,51.375217,-0.10769,Female,over 34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T01:10:00+00:00,51.489437,0.086084,Male,over 34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T01:25:00+00:00,51.510953,-0.133012,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T01:35:00+00:00,51.515546,-0.070056,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T01:37:00+00:00,51.514988,-0.13338,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T02:15:00+00:00,51.559497,0.124318,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person and Vehicle search,2021-06-24T03:00:00+00:00,,,Male,25-34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T04:43:00+00:00,51.515546,-0.070056,Male,Oct-17,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T08:02:00+00:00,51.490316,-0.139242,Male,25-34,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person and Vehicle search,2021-06-24T10:04:00+00:00,51.539115,-0.195481,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T10:05:00+00:00,51.541959,-0.172367,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T10:09:00+00:00,51.554335,0.004202,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T10:10:00+00:00,,,Male,over 34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Vehicle search,2021-06-24T10:30:00+00:00,51.562074,-0.288566,,,,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T10:45:00+00:00,51.541174,0.016588,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T11:06:00+00:00,51.515546,-0.070056,Male,25-34,Other ethnic group - Not stated,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T11:20:00+00:00,51.543754,-0.188995,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-24T11:29:00+00:00,,,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T11:30:00+00:00,51.519227,-0.167858,Male,Oct-17,White - Any other White background,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T11:55:00+00:00,51.512652,-0.365489,Female,over 34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T13:13:00+00:00,51.539115,-0.195481,Male,18-24,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T13:30:00+00:00,51.538682,-0.097485,Male,Oct-17,Mixed/Multiple ethnic groups - White and Black Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-24T13:45:00+00:00,51.536279,-0.146827,Male,25-34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-24T13:45:00+00:00,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T14:02:00+00:00,51.568946,-0.098314,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T14:05:00+00:00,51.570989,-0.096194,Male,Oct-17,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T14:20:00+00:00,51.375207,-0.086022,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T14:30:00+00:00,51.488774,-0.144649,Male,18-24,Mixed/Multiple ethnic groups - White and Black African,Other,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T14:50:00+00:00,51.412617,-0.178565,Male,over 34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-24T15:15:00+00:00,51.601561,-0.193353,Male,over 34,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T15:20:00+00:00,51.509725,-0.293224,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T15:20:00+00:00,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T15:52:00+00:00,51.48997,0.061519,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T16:04:00+00:00,51.395591,0.008655,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T16:07:00+00:00,51.534146,0.016335,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-24T16:09:00+00:00,51.532285,-0.119595,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Evidence of offences under the Act,Arrest
Person search,2021-06-24T16:20:00+00:00,51.375575,-0.104801,Male,18-24,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T16:20:00+00:00,51.463889,0.003044,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T16:30:00+00:00,51.548879,-0.12931,Male,18-24,Other ethnic group - Not stated,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T16:30:00+00:00,,,Male,18-24,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-24T16:30:00+00:00,51.57375,-0.130295,Male,18-24,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Vehicle search,2021-06-24T16:35:00+00:00,51.599195,-0.13686,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T16:44:00+00:00,51.581443,-0.124971,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T16:45:00+00:00,51.524581,-0.1692,Male,Oct-17,Other ethnic group - Not stated,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-24T16:50:00+00:00,51.519227,-0.167858,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T16:52:00+00:00,51.464932,-0.012272,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T16:55:00+00:00,51.519227,-0.167858,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T17:30:00+00:00,,,Male,25-34,Black/African/Caribbean/Black British - African,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T17:30:00+00:00,51.52814,-0.052382,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T17:40:00+00:00,51.440978,-0.134989,Male,25-34,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Black,Police and Criminal Evidence Act 1984 (section 1),,Arrest
Person search,2021-06-24T17:50:00+00:00,51.57719,-0.334239,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T17:50:00+00:00,51.57719,-0.334239,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T17:50:00+00:00,51.57719,-0.334239,Male,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person and Vehicle search,2021-06-24T17:52:00+00:00,51.557358,-0.248683,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-24T17:55:00+00:00,,,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-24T18:06:00+00:00,51.56682,-0.263946,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T18:20:00+00:00,51.566805,-0.033343,Male,Oct-17,White - English/Welsh/Scottish/Northern Irish/British,White,Firearms Act 1968 (section 47),Firearms,Arrest
Person search,2021-06-24T18:39:00+00:00,,,Male,25-34,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-24T18:50:00+00:00,,,Male,over 34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T18:58:00+00:00,51.544006,-0.140125,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T19:00:00+00:00,,,Male,,Black/African/Caribbean/Black British - Caribbean,Black,Firearms Act 1968 (section 47),Firearms,Arrest
Person and Vehicle search,2021-06-24T19:26:00+00:00,51.534228,-0.19344,Male,18-24,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T19:29:00+00:00,51.479892,-0.032835,Male,25-34,White - Any other White background,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T20:15:00+00:00,51.521675,-0.185922,Male,25-34,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T20:20:00+00:00,51.462583,-0.113968,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T20:20:00+00:00,51.525084,-0.138344,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-24T20:20:00+00:00,51.571339,0.10497,Male,over 34,Asian/Asian British - Indian,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T20:20:00+00:00,51.462206,-0.112314,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person and Vehicle search,2021-06-24T21:10:00+00:00,51.490842,-0.111448,Male,25-34,Black/African/Caribbean/Black British - African,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T21:34:00+00:00,51.584936,-0.06322,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T21:42:00+00:00,51.386044,0.059259,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T21:57:00+00:00,51.581443,-0.124971,Male,18-24,Asian/Asian British - Any other Asian background,Other,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T22:45:00+00:00,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-24T22:53:00+00:00,,,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person and Vehicle search,2021-06-24T23:07:00+00:00,51.429494,-0.029434,Male,,Other ethnic group - Not stated,Black,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-24T23:20:00+00:00,51.568577,-0.268482,Male,18-24,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person search,2021-06-24T23:50:00+00:00,51.513077,-0.057247,Male,18-24,Asian/Asian British - Bangladeshi,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-25T00:15:00+00:00,51.487052,-0.084569,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
Person search,2021-06-25T00:30:00+00:00,51.410378,-0.107633,Female,25-34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest
Person search,2021-06-25T00:41:00+00:00,51.546403,-0.073568,Male,18-24,Black/African/Caribbean/Black British - Caribbean,Black,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Arrest
Person and Vehicle search,2021-06-25T00:42:00+00:00,51.533007,-0.053573,Male,25-34,Asian/Asian British - Any other Asian background,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest
